,EVENTO,UF,MUNICÍPIO,SITE,ROTA,DATA CRIAÇÃO,GESTOR ATUAL,PREVISÃO SOBRESSALENTE,Ação,Prazo,Status,Fabricante,Modelo,Cod_Modelo,SS,Afetação
54,338482704,BA,MORPARÁ,MPA,BA-OESTE,25/03/2025 23:17:53,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
55,339560403,BA,SANTO AMARO,SNT,BA-NORTE,30/03/2025 13:07:49,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,,,Acesso,,,,,
56,339763771,BA,LAURO DE FREITAS,IPG,BA-CAPITAL,31/03/2025 15:34:05,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,Icomon atuando,21/04/2025,Sobressalente,ERICSSON,DXU21A,BOE 602 14/1,12805,
57,339831503,BA,GUANAMBI,GEB,BA-OESTE,31/03/2025 22:06:30,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
58,339881466,BA,CAMACAN,CAM,BA-SUL,01/04/2025 03:27:12,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,RRU 02 B5,,Sobressalente,ERICSSON,RRU02B5,KRC11846/2,12556,
59,339926691,BA,CONCEIÇÃO DA FEIRA,CCF,BA-NORTE,01/04/2025 08:16:57,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRU02B5,KRC11846/2,12487,
60,339991782,BA,TAPIRAMUTÁ,VTG,BA-NORTE,01/04/2025 14:35:23,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,DIPLEX FILTER HIGH,KRF102301/2,11410,
61,340097058,BA,SÃO FELIPE,SFP,BA-SUL,02/04/2025 01:20:12,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,ATENDER,,Sobressalente,ERICSSON,DTRU800,KRC1311005/2,12570,
62,340609325,BA,ALAGOINHAS,AST,BA-NORTE,04/04/2025 04:23:33,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,Tramitado para Icomon,,Sobressalente,,,,,
63,341466799,BA,VÁRZEA DA ROÇA,VDR,BA-NORTE,08/04/2025 19:01:37,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,ERICSSON,RRUS 12 B5 ,KRC161321/2,11783,
64,341518777,BA,AMARGOSA,AMG,BA-SUL,09/04/2025 04:52:09,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,ATENDIDA 25/04,,Sobressalente,ERICSSON,DTRU800,KRC1311005/2,12748,
65,341518882,BA,SALVADOR,EBN,BA-CAPITAL,09/04/2025 04:52:25,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,ERICSSON,DTRU800,KRC1311005/2,12216,
66,341559217,BA,TEIXEIRA DE FREITAS,TAF,BA-SUL,09/04/2025 21:42:54,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,8630 FAN MODULE SS12694,,Sobressalente,ERICSSON,FAN,QFR0924UHE,12694,
67,341590047,BA,PARIPIRANGA,PRP,BA-NORTE,10/04/2025 11:12:21,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,Unidade atendida 16/04,,Sobressalente,ERICSSON,RRU01B5,KRC11870/3,12486,
68,341627880,BA,UMBURANAS,UBS,BA-NORTE,11/04/2025 03:16:35,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRUS12B5,KRC161321/2,10399,
69,341648235,BA,CAMAÇARI,ARB,BA-CAPITAL,11/04/2025 12:29:28,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,SS 12661,20/04/2025,Sobressalente,ERICSSON,RRU220840,KRC161134/51,12661,3G
70,341655139,BA,IRECÊ,ICC,BA-NORTE,11/04/2025 14:54:16,O&M ACESSO VIVO_N1_BA/SE,-,Tramitado icomon,,Vivo Avaliar,,,,,
71,341659585,BA,IBITITÁ,IFN,BA-NORTE,11/04/2025 16:25:47,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRUS12B5,KRC161321/2,12674,
72,341660707,BA,SALVADOR,SNV,BA-CAPITAL,11/04/2025 16:51:59,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
73,341713195,BA,EUCLIDES DA CUNHA,ECC,BA-NORTE,12/04/2025 17:18:14,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
